show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,26-Nov-21,2016,TV-G,23 min,"Animation, Family",Join Mickey and the gang as they duck the halls!
s2,Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,26-Nov-21,1988,PG,91 min,Comedy,Santa Claus passes his magic bag to a new St. Nic.
s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,26-Nov-21,2011,TV-G,23 min,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.
s4,Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,26-Nov-21,2021,TV-PG,41 min,Musical,"This is real life, not just fantasy!"
s5,TV Show,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,25-Nov-21,2021,,1 Season,"Docuseries, Historical, Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.
s6,Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,24-Nov-21,2021,PG-13,94 min,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
s7,TV Show,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,24-Nov-21,2021,TV-14,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
s8,TV Show,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,24-Nov-21,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
s9,TV Show,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",United States,24-Nov-21,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,19-Nov-21,2008,G,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.
s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,19-Nov-21,2020,TV-PG,59 min,Documentary,Explore the treasures and rich history of the Walt Disney Archives.
s12,Movie,Puppy for Hanukkah,,,,19-Nov-21,2020,TV-G,4 min,"Comedy, Family, Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!"""
s13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,19-Nov-21,2007,G,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.
s14,TV Show,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",United States,17-Nov-21,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
s15,Movie,America the Beautiful,,Michael B. Jordan,,12-Nov-21,2021,TV-PG,2 min,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
s16,Movie,Baymax!,,,,12-Nov-21,2021,TV-G,1 min,Animation,“Baymax!” premieres on Disney+ summer 2022.
s17,Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,12-Nov-21,2021,TV-PG,8 min,"Animation, Comedy, Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.
s18,TV Show,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada",12-Nov-21,2018,TV-PG,3 Seasons,"Animation, Kids",Nancy makes every day extraordinary!
s19,TV Show,Disney Intertwined,,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",,12-Nov-21,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.
